1314, 29, ORL, IND, 1, 
1314, 29, LAC, LAL, 1, 
1314, 29, CHI, MIA, 1, 
1314, 30, BRK, CLE, 1, 
1314, 30, ATL, DAL, 1, 
1314, 30, WAS, DET, 1, 
1314, 30, LAL, GSW, 1, 
1314, 30, CHO, HOU, 1, 
1314, 30, ORL, MIN, 1, 
1314, 30, IND, NOP, -1, 
1314, 30, MIL, NYK, 1, 
1314, 30, MIA, PHI, 1, 
1314, 30, POR, PHO, 1, 
1314, 30, DEN, SAC, 1, 
1314, 30, MEM, SAS, 1, 
1314, 30, BOS, TOR, 1, 
1314, 30, OKC, UTA, -1, 
1314, 31, NYK, CHI, 1, 
1314, 31, GSW, LAC, 1, 
1314, 32, TOR, ATL, 1, 
1314, 32, MIL, BOS, -1, 
1314, 32, MIA, BRK, 1, 
1314, 32, CLE, CHO, 1, 
1314, 32, POR, DEN, -1, 
1314, 32, DAL, HOU, 1, 
1314, 32, SAS, LAL, -1, 
1314, 32, DET, MEM, 1, 
1314, 32, OKC, MIN, 1, 
1314, 32, NOP, ORL, 1, 
1314, 32, UTA, PHO, 1, 
1314, 32, LAC, SAC, -1, 
1314, 32, PHI, WAS, -1, 
1314, 33, MEM, DAL, 1, 
1314, 33, SAC, GSW, 1, 
1314, 33, CLE, IND, 1, 
1314, 33, TOR, MIL, -1, 
1314, 33, CHO, NOP, 1, 
1314, 33, CHI, PHI, 1, 
1314, 33, SAS, POR, 1, 
1314, 33, HOU, UTA, -1, 
1314, 34, BOS, DET, 1, 
1314, 34, ATL, LAL, 1, 
1314, 34, WAS, MIA, 1, 
1314, 34, MIN, NYK, -1, 
1314, 34, PHO, OKC, 1, 
1314, 34, BRK, ORL, 1, 
1314, 35, MIN, CLE, 1, 
1314, 35, HOU, LAC, 1, 
1314, 35, BOS, MEM, 1, 
1314, 35, GSW, PHI, -1, 
1314, 36, UTA, BRK, 1, 
1314, 36, LAL, DAL, 1, 
1314, 36, SAS, DEN, -1, 
1314, 36, IND, DET, -1, 
1314, 36, PHO, NOP, -1, 
1314, 36, CHO, NYK, -1, 
1314, 36, HOU, POR, -1, 
1314, 36, ATL, SAC, -1, 
1314, 36, MIA, TOR, -1, 
1314, 37, UTA, BOS, 1, 
1314, 37, TOR, CHO, 1, 
1314, 37, CHI, IND, 1, 
1314, 37, NOP, MEM, -1, 
1314, 37, CLE, MIL, 1, 
1314, 37, GSW, MIN, -1, 
1314, 37, DAL, OKC, 1, 
1314, 37, LAC, ORL, 1, 
1314, 37, WAS, PHI, -1, 
1314, 37, PHO, SAS, 1, 
1314, 38, ATL, DEN, 1, 
1314, 38, LAL, HOU, -1, 
1314, 38, LAC, MIA, 1, 
1314, 39, NYK, CHO, -1, 
1314, 39, UTA, CHI, 1, 
1314, 39, OKC, DET, -1, 
1314, 39, TOR, IND, 1, 
1314, 39, DAL, MIN, 1, 
1314, 39, LAL, NOP, 1, 
1314, 39, BOS, ORL, -1, 
1314, 39, CLE, PHI, 1, 
1314, 39, DEN, PHO, 1, 
1314, 39, SAC, POR, 1, 
1314, 39, GSW, SAS, 1, 
1314, 39, BRK, WAS, 1, 
1314, 40, ORL, ATL, 1, 
1314, 40, IND, BRK, -1, 
1314, 40, PHI, CLE, 1, 
1314, 40, LAC, HOU, -1, 
1314, 40, GSW, MEM, 1, 
1314, 40, BOS, MIA, -1, 
1314, 40, DAL, MIL, -1, 
1314, 40, POR, SAC, -1, 
1314, 40, UTA, TOR, 1, 
1314, 41, MIN, LAL, -1, 
1314, 41, SAS, NYK, -1, 
1314, 41, WAS, OKC, 1, 
1314, 41, NOP, PHO, 1, 
1314, 42, ORL, BOS, 1, 
1314, 42, ATL, CHO, -1, 
1314, 42, CLE, CHI, 1, 
1314, 42, TOR, HOU, 1, 
1314, 42, MEM, IND, 1, 
1314, 42, MIN, LAC, 1, 
1314, 42, SAS, PHI, -1, 
1314, 42, DET, POR, 1, 
1314, 42, DEN, UTA, -1, 
1314, 43, WAS, DAL, 1, 
1314, 43, DET, GSW, 1, 
1314, 43, NOP, LAL, 1, 
1314, 43, MIL, MIA, 1, 
1314, 44, NYK, ATL, -1, 
1314, 44, CHO, BOS, -1, 
1314, 44, LAL, DEN, 1, 
1314, 44, OKC, LAC, 1, 
1314, 44, TOR, MEM, -1, 
1314, 44, CLE, MIN, 1, 
1314, 44, MIL, ORL, 1, 
1314, 44, HOU, PHI, 1, 
1314, 44, PHO, POR, 1, 
1314, 44, BRK, SAC, 1, 
1314, 44, WAS, SAS, 1, 
1314, 44, NOP, UTA, 1, 
1314, 45, OKC, GSW, 1, 
1314, 45, HOU, NYK, -1, 
1314, 46, PHI, ATL, 1, 
1314, 46, POR, BOS, -1, 
1314, 46, CHO, CLE, -1, 
1314, 46, MIN, DEN, 1, 
1314, 46, MIL, IND, 1, 
1314, 46, MEM, LAL, -1, 
1314, 46, DAL, MIA, 1, 
1314, 46, BRK, PHO, -1, 
1314, 46, DET, SAC, -1, 
1314, 46, CHI, TOR, -1, 
1314, 46, SAS, UTA, -1, 
1314, 47, MIA, CHO, -1, 
1314, 47, IND, CHI, 1, 
1314, 47, UTA, GSW, 1, 
1314, 47, DEN, HOU, 1, 
1314, 47, BRK, LAC, 1, 
1314, 47, OKC, MIL, -1, 
1314, 47, BOS, MIN, 1, 
1314, 47, PHI, NOP, 1, 
1314, 47, ATL, NYK, -1, 
1314, 47, DAL, ORL, -1, 
1314, 47, CLE, WAS, -1, 
1314, 48, DET, LAL, 1, 
1314, 48, MEM, SAC, -1, 
1314, 48, POR, TOR, -1, 
1314, 49, POR, BRK, -1, 
1314, 49, CHO, CHI, 1, 
1314, 49, PHI, DAL, 1, 
1314, 49, MEM, LAC, -1, 
1314, 49, DEN, OKC, 1, 
1314, 49, GSW, UTA, -1, 
1314, 50, NYK, DET, 1, 
1314, 50, BOS, HOU, 1, 
1314, 50, ATL, MIA, 1, 
1314, 50, PHO, SAC, 1, 
1314, 50, MIN, WAS, 1, 
1314, 51, DET, ATL, 1, 
1314, 51, BRK, CHO, 1, 
1314, 51, WAS, CLE, -1, 
1314, 51, HOU, DAL, 1, 
1314, 51, MEM, GSW, -1, 
1314, 51, POR, MIL, -1, 
1314, 51, LAC, MIN, -1, 
1314, 51, UTA, NOP, 1, 
1314, 51, IND, NYK, -1, 
1314, 51, MIA, ORL, -1, 
1314, 51, TOR, PHI, -1, 
1314, 51, SAC, PHO, -1, 
1314, 51, BOS, SAS, 1, 
1314, 52, CHI, DEN, 1, 
1314, 52, LAC, OKC, 1, 
1314, 53, IND, BOS, -1, 
1314, 53, PHO, CHO, -1, 
1314, 53, UTA, DAL, 1, 
1314, 53, ATL, DET, -1, 
1314, 53, GSW, LAL, 1, 
